http://www.w3.org/ns/prov#wasDerivedFrom	http://purl.org/dc/elements/1.1/format	WoCID	DOI	Citation	X	Y	Accuracy	Crayfish_scientific_name	Pathogen_symbiont_present	Year_of_observation	Contributor
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L103	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2439	10.1016/0044-8486(94)90243-7	Huang, T. S., Cerenius, L., & Söderhäll, K. (1994). Analysis of genetic diversity in the crayfish plague fungus, Aphanomyces astaci, by random amplification of polymorphic DNA. Aquaculture, 126(1-2), 1-9.	59.61	14.56	Low	Astacus astacus	Aphanomyces astaci	1970	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L104	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2440	10.1016/0044-8486(94)90243-7	Huang, T. S., Cerenius, L., & Söderhäll, K. (1994). Analysis of genetic diversity in the crayfish plague fungus, Aphanomyces astaci, by random amplification of polymorphic DNA. Aquaculture, 126(1-2), 1-9.	59.02	15.41	Low	Astacus astacus	Aphanomyces astaci	1970	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L105	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2441	10.1016/0044-8486(94)90243-7	Huang, T. S., Cerenius, L., & Söderhäll, K. (1994). Analysis of genetic diversity in the crayfish plague fungus, Aphanomyces astaci, by random amplification of polymorphic DNA. Aquaculture, 126(1-2), 1-9.	58.58	14.01	Low	Astacus astacus	Aphanomyces astaci	1970	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L106	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2442	10.1016/0044-8486(94)90243-7	Huang, T. S., Cerenius, L., & Söderhäll, K. (1994). Analysis of genetic diversity in the crayfish plague fungus, Aphanomyces astaci, by random amplification of polymorphic DNA. Aquaculture, 126(1-2), 1-9.	59.45	14.26	Low	Astacus astacus	Aphanomyces astaci	1970	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L107	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2443	10.1016/0044-8486(94)90243-7	Huang, T. S., Cerenius, L., & Söderhäll, K. (1994). Analysis of genetic diversity in the crayfish plague fungus, Aphanomyces astaci, by random amplification of polymorphic DNA. Aquaculture, 126(1-2), 1-9.	57.8	15.07	Low	Astacus astacus	Aphanomyces astaci	1970	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L108	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2444	10.1016/0044-8486(94)90243-7	Huang, T. S., Cerenius, L., & Söderhäll, K. (1994). Analysis of genetic diversity in the crayfish plague fungus, Aphanomyces astaci, by random amplification of polymorphic DNA. Aquaculture, 126(1-2), 1-9.	56.63	16.17	Low	Astacus astacus	Aphanomyces astaci	1973	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L109	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2445	10.1016/0044-8486(94)90243-7	Huang, T. S., Cerenius, L., & Söderhäll, K. (1994). Analysis of genetic diversity in the crayfish plague fungus, Aphanomyces astaci, by random amplification of polymorphic DNA. Aquaculture, 126(1-2), 1-9.	59.8	14.5	Low	Astacus astacus	Aphanomyces astaci	1973	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L110	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2446	10.1016/0044-8486(94)90243-7	Huang, T. S., Cerenius, L., & Söderhäll, K. (1994). Analysis of genetic diversity in the crayfish plague fungus, Aphanomyces astaci, by random amplification of polymorphic DNA. Aquaculture, 126(1-2), 1-9.	60.71	14.87	Low	Astacus astacus	Aphanomyces astaci	1973	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L111	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2447	10.1016/0044-8486(94)90243-7	Huang, T. S., Cerenius, L., & Söderhäll, K. (1994). Analysis of genetic diversity in the crayfish plague fungus, Aphanomyces astaci, by random amplification of polymorphic DNA. Aquaculture, 126(1-2), 1-9.	57.5	16.04	Low	Astacus astacus	Aphanomyces astaci	1973	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L112	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2448	10.1007/s10530-017-1496-z	Kaldre, K., Paaver, T., Hurt, M., & Grandjean, F. (2017). First records of the non-indigenous signal crayfish (Pacifastacus leniusculus) and its threat to noble crayfish (Astacus astacus) populations in Estonia. Biological Invasions, 19(10), 2771-2776.	58.30397682	22.67786349	Low	Astacus astacus	Aphanomyces astaci	2006	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L113	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2449	10.1007/s10530-017-1496-z	Kaldre, K., Paaver, T., Hurt, M., & Grandjean, F. (2017). First records of the non-indigenous signal crayfish (Pacifastacus leniusculus) and its threat to noble crayfish (Astacus astacus) populations in Estonia. Biological Invasions, 19(10), 2771-2776.	58.30339394	22.48968131	Low	Astacus astacus	Aphanomyces astaci	2007	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L114	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2450	10.1007/s10530-017-1496-z	Kaldre, K., Paaver, T., Hurt, M., & Grandjean, F. (2017). First records of the non-indigenous signal crayfish (Pacifastacus leniusculus) and its threat to noble crayfish (Astacus astacus) populations in Estonia. Biological Invasions, 19(10), 2771-2776.	58.3584108	22.51219903	Low	Astacus astacus	Aphanomyces astaci	2008	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L115	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2451	10.1007/s10530-017-1496-z	Kaldre, K., Paaver, T., Hurt, M., & Grandjean, F. (2017). First records of the non-indigenous signal crayfish (Pacifastacus leniusculus) and its threat to noble crayfish (Astacus astacus) populations in Estonia. Biological Invasions, 19(10), 2771-2776.	58.10640595	26.8100957	Low	Astacus astacus	Aphanomyces astaci	2009	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L116	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2452	10.1007/s10530-017-1496-z	Kaldre, K., Paaver, T., Hurt, M., & Grandjean, F. (2017). First records of the non-indigenous signal crayfish (Pacifastacus leniusculus) and its threat to noble crayfish (Astacus astacus) populations in Estonia. Biological Invasions, 19(10), 2771-2776.	57.73184272	26.51490488	Low	Astacus astacus	Aphanomyces astaci	2008	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L117	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2453	10.1007/s10530-017-1496-z	Kaldre, K., Paaver, T., Hurt, M., & Grandjean, F. (2017). First records of the non-indigenous signal crayfish (Pacifastacus leniusculus) and its threat to noble crayfish (Astacus astacus) populations in Estonia. Biological Invasions, 19(10), 2771-2776.	58.92056482	26.27561296	Low	Astacus astacus	Aphanomyces astaci	2009	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L118	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2454	10.1007/s10530-017-1496-z	Kaldre, K., Paaver, T., Hurt, M., & Grandjean, F. (2017). First records of the non-indigenous signal crayfish (Pacifastacus leniusculus) and its threat to noble crayfish (Astacus astacus) populations in Estonia. Biological Invasions, 19(10), 2771-2776.	58.9780853	23.84928511	Low	Astacus astacus	Aphanomyces astaci	2011	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L119	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2455	10.1016/j.jip.2020.107390	Mojžišová, M., Mrugała, A., Kozubíková-Balcarová, E., Vlach, P., Svobodová, J., Kouba, A., & Petrusek, A. (2020). Crayfish plague in Czechia: Outbreaks from novel sources and testing for chronic infections. Journal of invertebrate pathology, 173, 107390.	50.4291	15.8026	High	Astacus astacus	Aphanomyces astaci	2014	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L120	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WC5851	10.3897/neobiota.89.110085	Satmari, A., Miok, K., Ion, M. C., Zaharia, C., Schrimpf, A., & Pârvulescu, L. (2023). ﻿ Headwater refuges: Flow protects Austropotamobius crayfish from Faxonius limosus invasion. NeoBiota, 89, 71-94.	46.6112	22.4035	High	Astacus astacus	Aphanomyces astaci	2019	Lucian Pârvulescu
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L121	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WC5852	10.3897/neobiota.89.110085	Satmari, A., Miok, K., Ion, M. C., Zaharia, C., Schrimpf, A., & Pârvulescu, L. (2023). ﻿ Headwater refuges: Flow protects Austropotamobius crayfish from Faxonius limosus invasion. NeoBiota, 89, 71-94.	46.6416	22.2447	High	Astacus astacus	Aphanomyces astaci	2019	Lucian Pârvulescu
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L122	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WC5853	10.3897/neobiota.89.110085	Satmari, A., Miok, K., Ion, M. C., Zaharia, C., Schrimpf, A., & Pârvulescu, L. (2023). ﻿ Headwater refuges: Flow protects Austropotamobius crayfish from Faxonius limosus invasion. NeoBiota, 89, 71-94.	45.2288	22.1436	High	Astacus astacus	Aphanomyces astaci	2019	Lucian Pârvulescu

http://www.w3.org/ns/prov#wasDerivedFrom	http://purl.org/dc/elements/1.1/format	WoCID	URL	Citation	X	Y	Accuracy	Crayfish_scientific_name	Pathogen_symbiont_present	Year_of_observation	Contributor
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L123	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1721	https://www.sva.se/media/ofelrebo/rapport-kr%C3%A4ftor-och-%C3%A5l-2018.pdf	Anonymous 2018. Year Report Health monitoring, freshwater crayfish and eel. In Swedish. Report. National Veterinary Institute, Sweden. 	59.944976	12.344846	High	Astacus astacus	Aphanomyces astaci	2018	David Strand
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L124	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1736	https://www.vetinst.no/overvaking/krepsepest 	Strand D, Johnsen SI, Amundsen MM, Mohammad SN, Vrålstad T. 2023. The surveillance programme for Aphanomyces astaci in Norway 2022. Surveillance program report. ISSN 1890-3290 (electronic edition). Norwegian Veterinary Institute 2023, 27 pp.	59.549646	11.323271	High	Astacus astacus	Aphanomyces astaci	2021	David Strand
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L125	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1737	https://www.vetinst.no/overvaking/krepsepest	Strand D, Rusch J, Johnsen SI, Tarpai A, Vrålstad T. 2019. The surveillance programme for Aphanomyces astaci in Norway 2018. Annual Report 2019. ISSN 1894-5678. Norwegian Veterinary Institute, 16 pp.	59.76075	10.933445	High	Astacus astacus	Aphanomyces astaci	2018	David Strand
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L126	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1738	https://www.vetinst.no/overvaking/krepsepest	Strand D, Rusch J, Johnsen SI, Tarpai A, Vrålstad T. 2019. The surveillance programme for Aphanomyces astaci in Norway 2018. Annual Report 2019. ISSN 1894-5678. Norwegian Veterinary Institute, 16 pp.	59.76075	10.933445	High	Astacus astacus	Aphanomyces astaci	2018	David Strand

http://www.w3.org/ns/prov#wasDerivedFrom	http://purl.org/dc/elements/1.1/format	WoCID	DOI	Citation	X	Y	Accuracy	Crayfish_scientific_name	Pathogen_symbiont_present	Year_of_observation	Contributor
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L127	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1741	10.1111/1365-2664.13404	Strand DA, Rusch JC, Johnsen SI, Agersnap S, Larsen W, Knudsen SW, Rask-Møller P, Vrålstad T. 2019. Monitoring of a Norwegian freshwater crayfish tragedy - eDNA snapshots of invasion, infection and extinction. Journal of Applied Ecology 56: 1661-1673	59.619274	11.585128	High	Astacus astacus	Aphanomyces astaci	2015	David Strand
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L128	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1743	10.1111/1365-2664.13404	Strand DA, Rusch JC, Johnsen SI, Agersnap S, Larsen W, Knudsen SW, Rask-Møller P, Vrålstad T. 2019. Monitoring of a Norwegian freshwater crayfish tragedy - eDNA snapshots of invasion, infection and extinction. Journal of Applied Ecology 56: 1661-1673	59.669828	11.546195	High	Astacus astacus	Aphanomyces astaci	2015	David Strand
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L129	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1744	10.1111/1365-2664.13404	Strand DA, Rusch JC, Johnsen SI, Agersnap S, Larsen W, Knudsen SW, Rask-Møller P, Vrålstad T. 2019. Monitoring of a Norwegian freshwater crayfish tragedy - eDNA snapshots of invasion, infection and extinction. Journal of Applied Ecology 56: 1661-1673	59.675525	11.530055	High	Astacus astacus	Aphanomyces astaci	2015	David Strand
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L130	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1746	10.1111/1365-2664.13404	Strand DA, Rusch JC, Johnsen SI, Agersnap S, Larsen W, Knudsen SW, Rask-Møller P, Vrålstad T. 2019. Monitoring of a Norwegian freshwater crayfish tragedy - eDNA snapshots of invasion, infection and extinction. Journal of Applied Ecology 56: 1661-1673	59.722244	11.055167	High	Astacus astacus	Aphanomyces astaci	2016	David Strand
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L131	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1747	10.1111/1365-2664.13404	Strand DA, Rusch JC, Johnsen SI, Agersnap S, Larsen W, Knudsen SW, Rask-Møller P, Vrålstad T. 2019. Monitoring of a Norwegian freshwater crayfish tragedy - eDNA snapshots of invasion, infection and extinction. Journal of Applied Ecology 56: 1661-1673	60.257848	11.684077	High	Astacus astacus	Aphanomyces astaci	2015	David Strand

http://www.w3.org/ns/prov#wasDerivedFrom	http://purl.org/dc/elements/1.1/format	WoCID	URL	Citation	X	Y	Accuracy	Crayfish_scientific_name	Pathogen_symbiont_present	Year_of_observation	Contributor
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L132	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1754	https://www.vetinst.no/overvaking/krepsepest 	Unpublished	59.588988	11.398288	High	Astacus astacus	Aphanomyces astaci	2023	David Strand

http://www.w3.org/ns/prov#wasDerivedFrom	http://purl.org/dc/elements/1.1/format	WoCID	DOI	Citation	X	Y	Accuracy	Crayfish_scientific_name	Pathogen_symbiont_present	Year_of_observation	Contributor
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L133	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1757	10.1111/1365-2664.12218	Vrålstad T, Strand DA, Grandjean F, Kvellestad A, Håstein T, Knutsen AK, Taugbøl T, Skaar I, (2014). Molecular detection and genotyping of Aphanomyces astaci directly from preserved crayfish samples uncovers the Norwegian crayfish plague disease history. Veterinary Microbiology 173: 66-75	59.284532	11.66379	High	Astacus astacus	Aphanomyces astaci	1989	Trude Vrålstad
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L134	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1758	10.1111/1365-2664.12218	Vrålstad T, Strand DA, Grandjean F, Kvellestad A, Håstein T, Knutsen AK, Taugbøl T, Skaar I, (2014). Molecular detection and genotyping of Aphanomyces astaci directly from preserved crayfish samples uncovers the Norwegian crayfish plague disease history. Veterinary Microbiology 173: 66-75	59.284532	11.66379	High	Astacus astacus	Aphanomyces astaci	2005	Trude Vrålstad
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L135	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1759	10.1111/1365-2664.12218	Vrålstad T, Strand DA, Grandjean F, Kvellestad A, Håstein T, Knutsen AK, Taugbøl T, Skaar I, (2014). Molecular detection and genotyping of Aphanomyces astaci directly from preserved crayfish samples uncovers the Norwegian crayfish plague disease history. Veterinary Microbiology 173: 66-75	59.362246	11.668004	High	Astacus astacus	Aphanomyces astaci	2005	Trude Vrålstad
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L136	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1760	10.1111/1365-2664.12218	Vrålstad T, Strand DA, Grandjean F, Kvellestad A, Håstein T, Knutsen AK, Taugbøl T, Skaar I, (2014). Molecular detection and genotyping of Aphanomyces astaci directly from preserved crayfish samples uncovers the Norwegian crayfish plague disease history. Veterinary Microbiology 173: 66-75	59.488005	11.644723	High	Astacus astacus	Aphanomyces astaci	1990	Trude Vrålstad
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L137	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1761	10.1111/1365-2664.12218	Vrålstad T, Strand DA, Grandjean F, Kvellestad A, Håstein T, Knutsen AK, Taugbøl T, Skaar I, (2014). Molecular detection and genotyping of Aphanomyces astaci directly from preserved crayfish samples uncovers the Norwegian crayfish plague disease history. Veterinary Microbiology 173: 66-75	59.675525	11.530055	High	Astacus astacus	Aphanomyces astaci	1993	Trude Vrålstad
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L138	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1763	10.1111/1365-2664.12218	Vrålstad T, Strand DA, Grandjean F, Kvellestad A, Håstein T, Knutsen AK, Taugbøl T, Skaar I, (2014). Molecular detection and genotyping of Aphanomyces astaci directly from preserved crayfish samples uncovers the Norwegian crayfish plague disease history. Veterinary Microbiology 173: 66-75	59.925218	11.993545	High	Astacus astacus	Aphanomyces astaci	2010	Trude Vrålstad
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L139	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1764	10.1111/1365-2664.12218	Vrålstad T, Strand DA, Grandjean F, Kvellestad A, Håstein T, Knutsen AK, Taugbøl T, Skaar I, (2014). Molecular detection and genotyping of Aphanomyces astaci directly from preserved crayfish samples uncovers the Norwegian crayfish plague disease history. Veterinary Microbiology 173: 66-75	59.949965	10.634363	High	Astacus astacus	Aphanomyces astaci	1998	Trude Vrålstad
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L140	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1767	10.1111/1365-2664.12218	Vrålstad T, Strand DA, Grandjean F, Kvellestad A, Håstein T, Knutsen AK, Taugbøl T, Skaar I, (2014). Molecular detection and genotyping of Aphanomyces astaci directly from preserved crayfish samples uncovers the Norwegian crayfish plague disease history. Veterinary Microbiology 173: 66-75	59.961996	12.169897	Low	Astacus astacus	Aphanomyces astaci	1971	Trude Vrålstad
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L141	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1768	10.1111/1365-2664.12218	Vrålstad T, Strand DA, Grandjean F, Kvellestad A, Håstein T, Knutsen AK, Taugbøl T, Skaar I, (2014). Molecular detection and genotyping of Aphanomyces astaci directly from preserved crayfish samples uncovers the Norwegian crayfish plague disease history. Veterinary Microbiology 173: 66-75	59.961996	12.169897	Low	Astacus astacus	Aphanomyces astaci	1974	Trude Vrålstad
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L142	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1769	10.1111/1365-2664.12218	Vrålstad T, Strand DA, Grandjean F, Kvellestad A, Håstein T, Knutsen AK, Taugbøl T, Skaar I, (2014). Molecular detection and genotyping of Aphanomyces astaci directly from preserved crayfish samples uncovers the Norwegian crayfish plague disease history. Veterinary Microbiology 173: 66-75	60.145503	11.460375	High	Astacus astacus	Aphanomyces astaci	2007	Trude Vrålstad
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L143	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1770	10.1111/1365-2664.12218	Vrålstad T, Strand DA, Grandjean F, Kvellestad A, Håstein T, Knutsen AK, Taugbøl T, Skaar I, (2014). Molecular detection and genotyping of Aphanomyces astaci directly from preserved crayfish samples uncovers the Norwegian crayfish plague disease history. Veterinary Microbiology 173: 66-75	60.203128	11.89162	High	Astacus astacus	Aphanomyces astaci	2005	Trude Vrålstad
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L144	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1771	10.1111/1365-2664.12218	Vrålstad T, Strand DA, Grandjean F, Kvellestad A, Håstein T, Knutsen AK, Taugbøl T, Skaar I, (2014). Molecular detection and genotyping of Aphanomyces astaci directly from preserved crayfish samples uncovers the Norwegian crayfish plague disease history. Veterinary Microbiology 173: 66-75	60.203128	11.89162	High	Astacus astacus	Aphanomyces astaci	2010	Trude Vrålstad
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L145	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1773	10.1111/1365-2664.12218	Vrålstad T, Strand DA, Grandjean F, Kvellestad A, Håstein T, Knutsen AK, Taugbøl T, Skaar I, (2014). Molecular detection and genotyping of Aphanomyces astaci directly from preserved crayfish samples uncovers the Norwegian crayfish plague disease history. Veterinary Microbiology 173: 66-75	60.257848	11.684077	High	Astacus astacus	Aphanomyces astaci	1995	Trude Vrålstad
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L146	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1774	10.1111/1365-2664.12218	Vrålstad T, Strand DA, Grandjean F, Kvellestad A, Håstein T, Knutsen AK, Taugbøl T, Skaar I, (2014). Molecular detection and genotyping of Aphanomyces astaci directly from preserved crayfish samples uncovers the Norwegian crayfish plague disease history. Veterinary Microbiology 173: 66-75	60.257848	11.684077	High	Astacus astacus	Aphanomyces astaci	2004	Trude Vrålstad
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L147	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WI1776	10.1111/1365-2664.12218	Vrålstad T, Strand DA, Grandjean F, Kvellestad A, Håstein T, Knutsen AK, Taugbøl T, Skaar I, (2014). Molecular detection and genotyping of Aphanomyces astaci directly from preserved crayfish samples uncovers the Norwegian crayfish plague disease history. Veterinary Microbiology 173: 66-75	60.336281	12.022889	High	Astacus astacus	Aphanomyces astaci	2009	Trude Vrålstad
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L148	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2538	10.3354/dao03275	Caprioli, R., Mrugała, A., Di Domenico, M., Curini, V., Giansante, C., Cammà, C., & Petrusek, A. (2018). Aphanomyces astaci genotypes involved in recent crayfish plague outbreaks in central Italy. Diseases of aquatic organisms, 130(3), 209-219.	41.691	14.294	High	Austropotamobius fulcisianus	Aphanomyces astaci	2009	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L149	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2539	10.3354/dao03275	Caprioli, R., Mrugała, A., Di Domenico, M., Curini, V., Giansante, C., Cammà, C., & Petrusek, A. (2018). Aphanomyces astaci genotypes involved in recent crayfish plague outbreaks in central Italy. Diseases of aquatic organisms, 130(3), 209-219.	42.584	13.478	High	Austropotamobius fulcisianus	Aphanomyces astaci	2011	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L150	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2540	10.3354/dao03275	Caprioli, R., Mrugała, A., Di Domenico, M., Curini, V., Giansante, C., Cammà, C., & Petrusek, A. (2018). Aphanomyces astaci genotypes involved in recent crayfish plague outbreaks in central Italy. Diseases of aquatic organisms, 130(3), 209-219.	41.615	14.05	High	Austropotamobius fulcisianus	Aphanomyces astaci	2011	Mihaela C. Ion
